transaction_id,customer_id,merchant_id,merchant_name,merchant_category,amount,timestamp,currency,channel,city,is_international
TXN-048835,C-0065,M-0082,EnergyStop #82,Gas Station,9291.13,2024-01-01T03:22:27,CAD,ATM,Hamilton,False
TXN-038424,C-0273,M-0022,FreshMart #22,Grocery,665.12,2024-01-01T07:00:00,CAD,POS,Ottawa,False
TXN-040196,C-0358,M-0180,StyleHub #180,Clothing,521.54,2024-01-01T07:02:50,CAD,POS,Vancouver,False
TXN-034681,C-0358,M-0065,BookTrip #65,Travel,699.65,2024-01-01T07:25:48,CAD,POS,Montreal,False
TXN-046078,C-0211,M-0063,ElectroZone #63,Electronics,94.27,2024-01-01T07:30:29,CAD,POS,Hamilton,False
TXN-020568,C-0261,M-0147,TelcoNet #147,Utilities,88.75,2024-01-01T07:42:29,CAD,online,Hamilton,False
TXN-020400,C-0042,M-0033,TechByte #33,Electronics,105.75,2024-01-01T07:57:59,CAD,POS,Winnipeg,False
TXN-037564,C-0351,M-0196,HydroPower #196,Utilities,151.23,2024-01-01T07:58:37,CAD,ATM,Edmonton,False
TXN-044200,C-0162,M-0146,FoodLand #146,Grocery,173.76,2024-01-01T07:59:49,CAD,ATM,Toronto,False
TXN-047667,C-0134,M-0130,ElectroZone #130,Electronics,207.58,2024-01-01T08:00:56,CAD,POS,Montreal,False
TXN-039303,C-0106,M-0187,ChicBoutique #187,Clothing,529.44,2024-01-01T08:01:12,CAD,online,Toronto,False
TXN-007645,C-0007,M-0069,GameZone #69,Entertainment,133.32,2024-01-01T08:05:08,CAD,online,Hamilton,False
TXN-025738,C-0199,M-0078,FlyAway #78,Travel,237.13,2024-01-01T08:05:14,CAD,POS,Hamilton,False
TXN-047909,C-0177,M-0073,TrendWear #73,Clothing,0.5,2024-01-01T08:05:21,CAD,online,Winnipeg,False
TXN-015305,C-0157,M-0049,FashionFit #49,Clothing,460.62,2024-01-01T08:05:50,CAD,POS,Hamilton,False
TXN-024306,C-0212,M-0036,JetSet #36,Travel,40.14,2024-01-01T08:11:58,CAD,POS,Toronto,False
TXN-039037,C-0130,M-0200,WanderLux #200,Travel,478.13,2024-01-01T08:14:59,CAD,online,Hamilton,False
TXN-006597,C-0144,M-0119,WellClinic #119,Healthcare,827.71,2024-01-01T08:15:31,CAD,online,Hamilton,False
TXN-024217,C-0364,M-0012,CircuitHub #12,Electronics,58.64,2024-01-01T08:23:11,CAD,POS,Quebec City,False
TXN-018768,C-0132,M-0163,Sushi Zen #163,Restaurant,72.49,2024-01-01T08:30:16,CAD,online,Winnipeg,False
TXN-010335,C-0207,M-0021,Metro Plus #21,Grocery,374.87,2024-01-01T08:31:36,CAD,online,Halifax,False
TXN-044926,C-0232,M-0070,ShopNow #70,Online Shopping,50.98,2024-01-01T08:43:18,CAD,POS,Ottawa,False
TXN-002744,C-0149,M-0195,Golden Wok #195,Restaurant,725.11,2024-01-01T08:51:02,CAD,POS,Toronto,False
TXN-042117,C-0191,M-0028,Burger Hub #28,Restaurant,45.68,2024-01-01T08:53:18,CAD,POS,Calgary,False
TXN-008803,C-0429,M-0097,CareFirst #97,Healthcare,121.33,2024-01-01T08:55:22,CAD,ATM,Edmonton,False
TXN-030217,C-0363,M-0076,FashionFit #76,Clothing,91.4,2024-01-01T09:01:04,CAD,POS,Ottawa,False
TXN-031200,C-0147,M-0014,FashionFit #14,Clothing,401.12,2024-01-01T09:02:58,CAD,online,Montreal,False
TXN-014048,C-0488,M-0115,HydroPower #115,Utilities,149.27,2024-01-01T09:10:14,CAD,POS,Calgary,False
TXN-008865,C-0287,M-0020,TrendWear #20,Clothing,578.03,2024-01-01T09:11:01,CAD,POS,Halifax,False
TXN-001143,C-0260,M-0110,FunPark #110,Entertainment,363.15,2024-01-01T09:11:12,CAD,POS,Vancouver,False
TXN-039761,C-0207,M-0115,HydroPower #115,Utilities,135.79,2024-01-01T09:11:34,CAD,online,Hamilton,False
TXN-009825,C-0340,M-0065,BookTrip #65,Travel,0.5,2024-01-01T09:11:46,CAD,online,Ottawa,False
TXN-005742,C-0134,M-0099,ElectroZone #99,Electronics,336.08,2024-01-01T09:14:19,CAD,online,Vancouver,False
TXN-045907,C-0069,M-0126,Golden Wok #126,Restaurant,336.82,2024-01-01T09:24:31,CAD,POS,Calgary,False
TXN-032003,C-0030,M-0113,FoodLand #113,Grocery,211.57,2024-01-01T09:26:15,CAD,online,Vancouver,False
TXN-009155,C-0402,M-0187,ChicBoutique #187,Clothing,438.0,2024-01-01T09:28:53,CAD,POS,Halifax,False
TXN-002353,C-0451,M-0003,SuperSave #3,Grocery,233.16,2024-01-01T09:30:42,CAD,POS,Quebec City,False
TXN-027131,C-0325,M-0100,FoodLand #100,Grocery,315.1,2024-01-01T09:35:13,CAD,POS,Toronto,False
TXN-040750,C-0297,M-0045,ClickBuy #45,Online Shopping,44.66,2024-01-01T09:44:18,CAD,POS,Vancouver,False
TXN-037428,C-0500,M-0113,FoodLand #113,Grocery,259.13,2024-01-01T09:47:27,CAD,ATM,Winnipeg,False
TXN-027841,C-0061,M-0093,TelcoNet #93,Utilities,266.9,2024-01-01T09:50:18,CAD,online,Winnipeg,False
TXN-007117,C-0177,M-0091,PowerGrid #91,Utilities,160.39,2024-01-01T09:55:46,CAD,online,Edmonton,False
TXN-013243,C-0207,M-0035,CircuitHub #35,Electronics,283.22,2024-01-01T10:00:19,CAD,POS,Calgary,False
TXN-028655,C-0113,M-0158,FlyAway #158,Travel,94.86,2024-01-01T10:08:40,CAD,POS,Toronto,False
TXN-036469,C-0102,M-0087,GreenGrocer #87,Grocery,199.29,2024-01-01T10:11:07,CAD,POS,Montreal,False
TXN-000697,C-0428,M-0154,StreamFlix #154,Entertainment,224.37,2024-01-01T10:16:08,CAD,POS,Vancouver,False
TXN-013392,C-0364,M-0110,FunPark #110,Entertainment,37.71,2024-01-01T10:19:09,CAD,online,Vancouver,False
TXN-003273,C-0465,M-0068,FunPark #68,Entertainment,346.08,2024-01-01T10:19:39,CAD,POS,Winnipeg,False
TXN-001535,C-0115,M-0083,GasLine #83,Utilities,100.32,2024-01-01T10:19:40,CAD,ATM,Vancouver,False
TXN-019600,C-0500,M-0113,FoodLand #113,Grocery,120.54,2024-01-01T10:20:57,CAD,online,Winnipeg,False
TXN-042978,C-0329,M-0107,SuperSave #107,Grocery,167.49,2024-01-01T10:26:59,CAD,online,Halifax,False
TXN-026857,C-0033,M-0001,BookTrip #1,Travel,282.25,2024-01-01T10:28:55,CAD,POS,Winnipeg,False
TXN-040046,C-0064,M-0133,SuperSave #133,Grocery,112.92,2024-01-01T10:29:15,CAD,POS,Calgary,False
TXN-043258,C-0155,M-0200,WanderLux #200,Travel,76.49,2024-01-01T10:33:29,CAD,online,Ottawa,False
